"filename","a","b","scalar","weight","decdist"
"ALIS_PrimHwyLimAcc_dist2k.tif",5,1,100,500,1000
"ALIS_PrimHwyWOLimAcc_dist2k.tif",5,1,100,500,1000
"ALIS_SecondConnectSpecial_dist2k.tif",2.5,2,100,500,500
"ALIS_LocNeighRur_dist2k.tif",1,5,100,300,200
"ALIS_VehicTr_dist2k.tif",0.25,20,100,100,50
"NYSRail_Active_dist2k.tif",0.5,10,100,500,100
"CCAP_02_HighIntenDev_dist2k.tif",10,0.5,100,500,2000
"CCAP_03_MedIntenDev_dist2k.tif",0.25,2,100,400,300
"CCAP_04_LowIntenDev_dist2k.tif",0.25,2,100,300,300
"VNTX_ElectTrnsAll_dist2k.tif",0.5,10,100,300,100
"VNTX_NatGasAll_dist2k.tif",0.5,10,100,300,100
"cs_allag2_dist2k.tif",1,5,100,300,200
"CCAP_05_OpenSpaces_dist2k.tif",1,5,100,300,200
